251291220173012201715
036AUD001       4,888161       4,902870       4,917579
124CAD001       4,989083       5,004095       5,019107
203CZK001       0,293102       0,293984       0,294866
208DKK001       1,006233       1,009261       1,012289
348HUF100       2,414305       2,421570       2,428835
392JPY100       5,556377       5,573096       5,589815
578NOK001       0,763292       0,765589       0,767886
752SEK001       0,762136       0,764429       0,766722
756CHF001       6,412521       6,431816       6,451111
826GBP001       8,442587       8,467991       8,493395
840USD001       6,250924       6,269733       6,288542
960XDR001                      8,996799               
977BAM001       3,830142       3,841667       3,853192
978EUR001       7,491107       7,513648       7,536189
985PLN001       1,795008       1,800409       1,805810
